,Class,Role Stereotype,DsTotal,Imperative Abstraction,Multifaceted Abstraction,Unnecessary Abstraction,Unutilized Abstraction,Feature Envy,Deficient Encapsulation,Unexploited Encapsulation,Broken Modularization,Cyclically-dependent Modularization,Hub-like Modularization,Insufficient Modularization,Broken Hierarchy,Cyclic Hierarchy,Deep Hierarchy,Missing Hierarchy,Multipath Hierarchy,Rebellious Hierarchy,Wide Hierarchy,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,project
0,com.eteks.sweethome3d.applet.AppletApplication,Interfacer,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,com.eteks.sweethome3d.applet.AppletApplication,class,31,35,4,31,102,7,0,103,240,0.94193506,0.21818182,0.27272728,25,0,7,14,4,0,11,0,0,0,31,23,0,31,0,0,24,0,37,565,19,6,33,10,3,65,25,94,0,90,3,8,3,0,272,1,0,SweetHome3d-5.6
1,com.eteks.sweethome3d.applet.AppletApplication$AppletFurnitureTable,Service Provider,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,com.eteks.sweethome3d.applet.AppletApplication$AppletFurnitureTable,innerclass,5,5,0,5,4,6,0,5,1,0.5,,,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,30,2,0,1,0,1,0,0,1,0,1,1,1,0,0,28,26,0,SweetHome3d-5.6
2,com.eteks.sweethome3d.applet.AppletApplication$StandaloneServiceManager,Service Provider,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,com.eteks.sweethome3d.applet.AppletApplication$StandaloneServiceManager,innerclass,4,4,0,4,4,1,0,1,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,17,2,0,0,0,0,2,0,1,0,1,1,0,0,0,34,10,0,SweetHome3d-5.6
3,com.eteks.sweethome3d.applet.AppletContentManager,,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,com.eteks.sweethome3d.applet.AppletContentManager,class,11,15,4,11,29,2,0,32,0,0.5,0.4,0.4,8,0,6,2,0,0,6,0,0,0,3,0,0,3,0,0,3,0,8,183,15,1,13,2,2,14,4,34,0,31,4,6,0,0,125,1,0,SweetHome3d-5.6
4,com.eteks.sweethome3d.applet.AppletUserPreferences,Structurer,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,com.eteks.sweethome3d.applet.AppletUserPreferences,class,15,18,3,15,55,2,0,116,106,0.8699999,0.19166666,0.3,20,0,16,4,0,0,16,0,0,0,30,19,0,30,0,0,26,0,39,339,2,10,14,6,0,34,5,67,4,59,3,5,0,0,222,1,0,SweetHome3d-5.6
5,com.eteks.sweethome3d.applet.HomeAppletController,Controller,5,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,com.eteks.sweethome3d.applet.HomeAppletController,class,16,26,10,16,18,3,0,17,28,0.7832167,0.25454545,0.38181818,13,0,10,2,1,0,11,0,0,0,11,1,0,11,0,0,9,0,3,243,2,0,3,1,0,6,6,20,2,20,1,10,0,0,113,1,0,SweetHome3d-5.6
6,com.eteks.sweethome3d.applet.SweetHome3DApplet,Interfacer,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,com.eteks.sweethome3d.applet.SweetHome3DApplet,class,2,3,1,2,45,6,0,56,54,0.6666667,0.3,0.3,12,0,3,7,2,0,5,0,0,0,1,0,0,1,0,0,0,0,18,177,9,3,9,9,3,87,16,33,7,28,7,0,0,0,333,1,0,SweetHome3d-5.6
7,com.eteks.sweethome3d.applet.SweetHome3DViewer,Service Provider,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,com.eteks.sweethome3d.applet.SweetHome3DViewer,class,2,3,1,2,18,6,0,36,13,0.6666667,0.0,0.0,6,0,2,4,0,0,2,0,0,0,1,0,0,1,0,0,0,0,13,83,3,0,1,3,1,66,6,15,4,13,3,0,0,0,200,1,0,SweetHome3d-5.6
8,com.eteks.sweethome3d.applet.ViewerHelper,Service Provider,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,com.eteks.sweethome3d.applet.ViewerHelper,class,17,22,5,17,28,1,0,42,36,0.9166666,0.0,0.0,9,1,2,7,0,0,2,0,0,0,8,8,0,8,0,0,8,0,12,288,6,2,6,4,0,26,2,31,3,26,3,6,0,0,141,17,0,SweetHome3d-5.6
9,com.eteks.sweethome3d.HomeFrameController,Controller,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,com.eteks.sweethome3d.HomeFrameController,class,11,22,11,11,6,1,0,2,0,0.4642857,0.5,0.5,4,0,4,0,0,0,4,0,0,0,7,0,0,7,0,0,5,0,0,31,2,0,2,0,1,0,0,7,0,7,1,0,0,0,31,1,0,SweetHome3d-5.6
